Dia,Cidade,Operacao,Pedidos,Horas_Operacionais,Receita,Pedidos_Cancelados,Taxa_Cancelamento_Pct,Meta_Pedidos,Pedidos_Por_Hora,Receita_Por_Hora,Atingimento_Meta_Pct
2025-01-02,São Paulo,Operação B,18411,108.2,767958.89,792,4.3,16272,170.16,7097.59,113.15
2025-01-02,São Paulo,Operação C,13762,92.7,597898.11,651,4.73,13948,148.46,6449.82,98.67
2025-01-02,Rio de Janeiro,Operação A,17844,103.5,562461.07,741,4.16,15564,172.41,5434.41,114.65
2025-01-02,Rio de Janeiro,Operação B,13818,90.8,585427.8,263,1.91,13658,152.18,6447.44,101.17
2025-01-02,Rio de Janeiro,Operação C,12400,77.8,594103.54,382,3.09,11707,159.38,7636.29,105.92
2025-01-02,Curitiba,Operação A,11879,79.2,542414.25,447,3.76,11914,149.99,6848.66,99.71
2025-01-02,Curitiba,Operação B,11285,70.1,478352.08,482,4.27,10542,160.98,6823.85,107.05
2025-01-02,Curitiba,Operação C,9116,60.0,368574.17,212,2.33,9029,151.93,6142.9,100.96
2025-01-02,Belo Horizonte,Operação A,13013,82.2,546812.17,431,3.31,12368,158.31,6652.22,105.22
2025-01-02,Belo Horizonte,Operação B,9019,59.8,366434.23,257,2.86,8993,150.82,6127.66,100.29
2025-01-02,Belo Horizonte,Operação C,9622,60.2,476719.52,350,3.64,9055,159.83,7918.93,106.26
2025-01-02,Campinas,Operação A,11214,72.5,384919.6,390,3.48,10909,154.68,5309.24,102.8
2025-01-02,Campinas,Operação B,11283,61.9,465204.36,422,3.74,9313,182.28,7515.42,121.15
2025-01-02,Campinas,Operação C,7688,53.9,358040.09,315,4.1,8103,142.63,6642.67,94.88
2025-01-03,São Paulo,Operação A,17985,123.4,856287.02,427,2.38,18588,145.75,6939.12,96.76
2025-01-03,São Paulo,Operação B,19136,106.6,727892.39,583,3.05,16057,179.51,6828.26,119.18
2025-01-03,São Paulo,Operação C,13648,90.9,488562.18,485,3.55,13690,150.14,5374.72,99.69
2025-01-03,Rio de Janeiro,Operação A,15484,96.3,593382.54,733,4.74,14503,160.79,6161.81,106.76
2025-01-03,Rio de Janeiro,Operação B,12888,84.7,583234.44,324,2.52,12760,152.16,6885.88,101.0
2025-01-03,Rio de Janeiro,Operação C,13754,81.0,489230.7,501,3.65,12195,169.8,6039.89,112.78
2025-01-03,Curitiba,Operação A,14230,86.7,527252.77,347,2.44,13057,164.13,6081.35,108.98
2025-01-03,Curitiba,Operação B,12305,77.5,529139.26,464,3.78,11666,158.77,6827.6,105.48
2025-01-03,Curitiba,Operação C,9519,60.2,410957.03,278,2.93,9064,158.12,6826.53,105.02
2025-01-03,Belo Horizonte,Operação A,14989,93.2,558112.21,603,4.03,14040,160.83,5988.33,106.76
2025-01-03,Belo Horizonte,Operação B,10325,62.9,481500.0,293,2.84,9470,164.15,7655.01,109.03
2025-01-03,Belo Horizonte,Operação C,10902,68.1,493732.4,547,5.02,10254,160.09,7250.11,106.32
2025-01-03,Campinas,Operação A,10173,69.0,391069.88,289,2.85,10393,147.43,5667.68,97.88
2025-01-03,Campinas,Operação B,9714,61.0,418739.1,404,4.16,9181,159.25,6864.58,105.81
2025-01-03,Campinas,Operação C,9295,54.2,380550.06,527,5.68,8165,171.49,7021.22,113.84
2025-01-04,São Paulo,Operação A,15761,122.3,594448.65,612,3.89,16226,128.87,4860.58,97.13
2025-01-04,São Paulo,Operação B,14535,100.9,637984.04,500,3.44,13396,144.05,6322.93,108.5
2025-01-04,São Paulo,Operação C,10332,84.3,415490.43,432,4.19,11185,122.56,4928.71,92.37
2025-01-04,Rio de Janeiro,Operação A,13173,105.2,562391.25,501,3.81,13966,125.22,5345.92,94.32
2025-01-04,Rio de Janeiro,Operação B,11646,84.0,491843.59,301,2.59,11150,138.64,5855.28,104.45
2025-01-04,Rio de Janeiro,Operação C,11670,81.9,540696.83,506,4.34,10867,142.49,6601.91,107.39
2025-01-04,Curitiba,Operação A,9640,75.2,424739.76,377,3.91,9984,128.19,5648.14,96.55
2025-01-04,Curitiba,Operação B,13479,77.4,596898.13,594,4.41,10273,174.15,7711.86,131.21
2025-01-04,Curitiba,Operação C,10270,71.6,418388.74,421,4.11,9506,143.44,5843.42,108.04
2025-01-04,Belo Horizonte,Operação A,10081,74.7,403830.2,359,3.57,9920,134.95,5406.03,101.62
2025-01-04,Belo Horizonte,Operação B,10241,85.9,458233.96,226,2.21,11401,119.22,5334.5,89.83
2025-01-04,Belo Horizonte,Operação C,8565,58.0,361932.23,225,2.64,7702,147.67,6240.21,111.2
2025-01-04,Campinas,Operação A,9442,65.7,368979.51,346,3.67,8722,143.71,5616.13,108.25
2025-01-04,Campinas,Operação B,8091,61.8,409208.61,324,4.01,8205,130.92,6621.5,98.61
2025-01-04,Campinas,Operação C,6252,45.0,246034.04,261,4.18,5972,138.93,5467.42,104.69
2025-01-05,São Paulo,Operação A,15302,112.3,673593.26,641,4.19,14929,136.26,5998.16,102.5
2025-01-05,São Paulo,Operação B,12620,94.1,506064.76,375,2.98,12506,134.11,5377.95,100.91
2025-01-05,São Paulo,Operação C,14484,102.6,535277.43,613,4.23,13630,141.17,5217.13,106.27
2025-01-05,Rio de Janeiro,Operação A,17463,118.6,627314.97,543,3.11,15760,147.24,5289.33,110.81
2025-01-05,Rio de Janeiro,Operação B,12931,99.1,566058.12,532,4.12,13166,130.48,5711.99,98.22
2025-01-05,Rio de Janeiro,Operação C,9968,72.9,289420.19,267,2.68,9687,136.74,3970.1,102.9
2025-01-05,Curitiba,Operação A,10416,83.1,505484.78,245,2.36,11044,125.34,6082.85,94.31
2025-01-05,Curitiba,Operação B,9801,70.7,468145.68,230,2.35,9399,138.63,6621.58,104.28
2025-01-05,Curitiba,Operação C,10044,73.1,382414.91,388,3.87,9713,137.4,5231.39,103.41
2025-01-05,Belo Horizonte,Operação A,10729,81.5,453613.63,342,3.19,10838,131.64,5565.81,98.99
2025-01-05,Belo Horizonte,Operação B,10130,70.5,489725.4,254,2.51,9369,143.69,6946.46,108.12
2025-01-05,Belo Horizonte,Operação C,9043,76.3,374315.63,359,3.97,10136,118.52,4905.84,89.22
2025-01-05,Campinas,Operação A,9548,72.7,393067.4,296,3.11,9661,131.33,5406.7,98.83
2025-01-05,Campinas,Operação B,8348,57.4,362537.46,245,2.95,7625,145.44,6315.98,109.48
2025-01-05,Campinas,Operação C,8476,60.4,383551.28,339,4.0,8029,140.33,6350.19,105.57
2025-01-06,São Paulo,Operação A,16827,112.1,757032.84,671,3.99,16949,150.11,6753.19,99.28
2025-01-06,São Paulo,Operação B,16127,102.4,759753.61,488,3.03,15479,157.49,7419.47,104.19
2025-01-06,São Paulo,Operação C,14486,94.0,595798.68,634,4.38,14220,154.11,6338.28,101.87
2025-01-06,Rio de Janeiro,Operação A,18088,109.5,854150.0,636,3.52,16561,165.19,7800.46,109.22
2025-01-06,Rio de Janeiro,Operação B,14519,95.0,628624.29,493,3.4,14363,152.83,6617.1,101.09
2025-01-06,Rio de Janeiro,Operação C,13032,80.1,504691.79,674,5.17,12107,162.7,6300.77,107.64
2025-01-06,Curitiba,Operação A,11129,77.8,518972.46,459,4.13,11770,143.05,6670.6,94.55
2025-01-06,Curitiba,Operação B,12753,78.2,535001.27,354,2.78,11822,163.08,6841.45,107.88
2025-01-06,Curitiba,Operação C,9747,65.5,447391.97,329,3.38,9902,148.81,6830.41,98.43
2025-01-06,Belo Horizonte,Operação A,11361,74.4,495927.26,346,3.05,11248,152.7,6665.69,101.0
2025-01-06,Belo Horizonte,Operação B,10163,63.9,436804.38,314,3.09,9670,159.05,6835.75,105.1
2025-01-06,Belo Horizonte,Operação C,9217,58.0,333726.03,218,2.37,8777,158.91,5753.9,105.01
2025-01-06,Campinas,Operação A,10113,65.7,437322.83,473,4.68,9935,153.93,6656.36,101.79
2025-01-06,Campinas,Operação B,10431,67.5,437308.57,281,2.7,10209,154.53,6478.65,102.17
2025-01-06,Campinas,Operação C,8267,54.0,357885.66,234,2.84,8165,153.09,6627.51,101.25
2025-01-07,São Paulo,Operação A,21055,121.5,875150.22,804,3.82,18401,173.29,7202.88,114.42
2025-01-07,São Paulo,Operação B,16324,107.3,700240.34,572,3.51,16254,152.13,6526.01,100.43
2025-01-07,São Paulo,Operação C,13452,90.9,566302.84,524,3.9,13763,147.99,6229.95,97.74
2025-01-07,Rio de Janeiro,Operação A,19019,113.9,962603.51,548,2.89,17247,166.98,8451.3,110.27
2025-01-07,Rio de Janeiro,Operação B,15264,96.3,774788.61,435,2.85,14584,158.5,8045.57,104.66
2025-01-07,Rio de Janeiro,Operação C,11019,73.5,369185.17,339,3.08,11130,149.92,5022.93,99.0
2025-01-07,Curitiba,Operação A,12580,79.6,545557.16,629,5.0,12048,158.04,6853.73,104.42
2025-01-07,Curitiba,Operação B,12081,80.5,463987.01,470,3.89,12183,150.07,5763.81,99.16
2025-01-07,Curitiba,Operação C,9834,55.7,459422.46,307,3.12,8435,176.55,8248.16,116.59
2025-01-07,Belo Horizonte,Operação A,11677,68.2,485084.07,524,4.49,10322,171.22,7112.67,113.13
2025-01-07,Belo Horizonte,Operação B,8776,58.5,368776.07,310,3.54,8865,150.02,6303.86,99.0
2025-01-07,Belo Horizonte,Operação C,9502,58.2,358505.88,321,3.39,8811,163.26,6159.89,107.84
2025-01-07,Campinas,Operação A,11602,71.6,520308.62,301,2.6,10838,162.04,7266.88,107.05
2025-01-07,Campinas,Operação B,8654,50.8,374971.38,251,2.9,7687,170.35,7381.33,112.58
2025-01-07,Campinas,Operação C,10250,65.0,478851.18,364,3.55,9840,157.69,7366.94,104.17
2025-01-08,São Paulo,Operação A,23279,132.3,954535.45,995,4.28,20062,175.96,7214.93,116.04
2025-01-08,São Paulo,Operação B,18376,107.0,700866.27,744,4.05,16228,171.74,6550.15,113.24
2025-01-08,São Paulo,Operação C,13412,97.6,499824.55,250,1.87,14802,137.42,5121.15,90.61
2025-01-08,Rio de Janeiro,Operação A,16760,101.8,804638.02,596,3.56,15444,164.64,7904.11,108.52
2025-01-08,Rio de Janeiro,Operação B,14382,101.6,506051.82,496,3.46,15407,141.56,4980.83,93.35
2025-01-08,Rio de Janeiro,Operação C,12830,82.1,432758.87,439,3.43,12444,156.27,5271.12,103.1
2025-01-08,Curitiba,Operação A,12424,75.7,540026.47,341,2.75,11485,164.12,7133.77,108.18
2025-01-08,Curitiba,Operação B,10185,70.2,425216.45,434,4.26,10646,145.09,6057.21,95.67
2025-01-08,Curitiba,Operação C,9416,58.0,375500.38,269,2.87,8802,162.34,6474.14,106.98
2025-01-08,Belo Horizonte,Operação A,11541,79.4,459163.33,293,2.54,12041,145.35,5782.91,95.85
2025-01-08,Belo Horizonte,Operação B,13109,83.5,513887.19,481,3.67,12655,156.99,6154.34,103.59
2025-01-08,Belo Horizonte,Operação C,9341,60.5,415269.72,383,4.11,9182,154.4,6863.96,101.73
2025-01-08,Campinas,Operação A,10077,67.0,412147.22,167,1.66,10162,150.4,6151.45,99.16
2025-01-08,Campinas,Operação B,8738,50.9,424490.91,288,3.3,7717,171.67,8339.7,113.23
2025-01-08,Campinas,Operação C,9311,58.2,505731.84,409,4.4,8819,159.98,8689.55,105.58
2025-01-09,São Paulo,Operação A,17127,117.0,609279.58,627,3.66,17763,146.38,5207.52,96.42
2025-01-09,São Paulo,Operação B,13734,97.2,541307.87,361,2.63,14760,141.3,5569.01,93.05
2025-01-09,São Paulo,Operação C,16994,102.0,713206.05,795,4.68,15490,166.61,6992.22,109.71
2025-01-09,Rio de Janeiro,Operação A,15375,104.3,739422.13,604,3.93,15833,147.41,7089.38,97.11
2025-01-09,Rio de Janeiro,Operação B,12840,82.9,494308.25,307,2.39,12594,154.89,5962.71,101.95
2025-01-09,Rio de Janeiro,Operação C,15273,85.9,556024.71,603,3.95,13037,177.8,6472.93,117.15
2025-01-09,Curitiba,Operação A,12172,80.3,482381.52,341,2.81,12196,151.58,6007.24,99.8
2025-01-09,Curitiba,Operação B,10956,74.1,472004.5,379,3.46,11258,147.85,6369.83,97.32
2025-01-09,Curitiba,Operação C,9297,63.3,369025.03,381,4.1,9607,146.87,5829.78,96.77
2025-01-09,Belo Horizonte,Operação A,12229,83.7,518476.94,501,4.1,12704,146.11,6194.47,96.26
2025-01-09,Belo Horizonte,Operação B,9449,58.0,371813.47,373,3.96,8809,162.91,6410.58,107.27
2025-01-09,Belo Horizonte,Operação C,7676,56.0,272419.94,271,3.54,8502,137.07,4864.64,90.28
2025-01-09,Campinas,Operação A,10662,72.5,475038.69,231,2.17,11015,147.06,6552.26,96.8
2025-01-09,Campinas,Operação B,8765,61.0,345276.63,310,3.54,9268,143.69,5660.27,94.57
2025-01-09,Campinas,Operação C,7343,48.1,337962.83,223,3.04,7303,152.66,7026.25,100.55
2025-01-10,São Paulo,Operação A,17902,123.7,789822.22,833,4.65,18813,144.72,6384.98,95.16
2025-01-10,São Paulo,Operação B,12639,85.2,560012.46,421,3.34,12954,148.35,6572.92,97.57
2025-01-10,São Paulo,Operação C,13964,92.8,591324.56,471,3.38,14110,150.47,6372.03,98.97
2025-01-10,Rio de Janeiro,Operação A,17896,111.9,775798.95,567,3.17,17015,159.93,6932.97,105.18
2025-01-10,Rio de Janeiro,Operação B,13223,86.8,576229.36,418,3.16,13196,152.34,6638.59,100.2
2025-01-10,Rio de Janeiro,Operação C,14648,81.4,666256.94,474,3.24,12377,179.95,8184.97,118.35
2025-01-10,Curitiba,Operação A,14237,93.3,481886.88,383,2.69,14183,152.59,5164.92,100.38
2025-01-10,Curitiba,Operação B,9303,60.7,391411.38,450,4.84,9230,153.26,6448.29,100.79
2025-01-10,Curitiba,Operação C,10401,67.2,471348.59,180,1.73,10223,154.78,7014.12,101.74
2025-01-10,Belo Horizonte,Operação A,13546,81.8,488816.28,598,4.42,12438,165.6,5975.75,108.91
2025-01-10,Belo Horizonte,Operação B,10994,72.1,489575.22,584,5.32,10958,152.48,6790.22,100.33
2025-01-10,Belo Horizonte,Operação C,10008,62.6,401946.86,282,2.82,9520,159.87,6420.88,105.13
2025-01-10,Campinas,Operação A,11305,76.5,478046.23,352,3.12,11637,147.78,6248.97,97.15
2025-01-10,Campinas,Operação B,10427,64.9,481207.72,322,3.09,9861,160.66,7414.6,105.74
2025-01-10,Campinas,Operação C,7644,52.2,307463.29,290,3.8,7941,146.44,5890.1,96.26
2025-01-11,São Paulo,Operação A,15953,123.2,725517.29,731,4.58,16503,129.49,5888.94,96.67
2025-01-11,São Paulo,Operação B,16509,105.4,642280.06,413,2.5,14121,156.63,6093.74,116.91
2025-01-11,São Paulo,Operação C,11891,77.7,530546.25,410,3.46,10417,153.04,6828.14,114.15
2025-01-11,Rio de Janeiro,Operação A,13480,105.7,698034.95,485,3.6,14161,127.53,6603.93,95.19
2025-01-11,Rio de Janeiro,Operação B,13234,91.0,581290.7,486,3.68,12188,145.43,6387.81,108.58
2025-01-11,Rio de Janeiro,Operação C,10561,73.8,523066.24,483,4.58,9894,143.1,7087.62,106.74
2025-01-11,Curitiba,Operação A,12818,96.0,487616.98,435,3.4,12865,133.52,5079.34,99.63
2025-01-11,Curitiba,Operação B,11058,74.2,389574.9,522,4.72,9940,149.03,5250.34,111.25
2025-01-11,Curitiba,Operação C,8574,63.8,325396.87,186,2.18,8553,134.39,5100.26,100.25
2025-01-11,Belo Horizonte,Operação A,11956,85.9,440460.91,294,2.46,11511,139.19,5127.6,103.87
2025-01-11,Belo Horizonte,Operação B,10414,67.3,426574.46,239,2.3,9024,154.74,6338.4,115.4
2025-01-11,Belo Horizonte,Operação C,8096,59.6,252696.02,279,3.46,7987,135.84,4239.87,101.36
2025-01-11,Campinas,Operação A,10034,69.1,495637.7,441,4.4,9259,145.21,7172.76,108.37
2025-01-11,Campinas,Operação B,7614,59.6,398162.25,270,3.55,7988,127.75,6680.57,95.32
2025-01-11,Campinas,Operação C,7493,54.2,320643.0,253,3.38,7264,138.25,5915.92,103.15
2025-01-12,São Paulo,Operação A,15180,113.9,635571.22,465,3.07,15276,133.27,5580.08,99.37
2025-01-12,São Paulo,Operação B,13619,97.5,558107.86,640,4.7,13082,139.68,5724.18,104.1
2025-01-12,São Paulo,Operação C,10691,71.6,502309.59,196,1.84,9612,149.32,7015.5,111.23
2025-01-12,Rio de Janeiro,Operação A,13683,101.3,497650.07,393,2.88,13595,135.07,4912.64,100.65
2025-01-12,Rio de Janeiro,Operação B,12829,82.4,586833.27,579,4.52,11058,155.69,7121.76,116.02
2025-01-12,Rio de Janeiro,Operação C,10779,84.4,430102.78,419,3.89,11327,127.71,5096.0,95.16
2025-01-12,Curitiba,Operação A,11108,76.3,455857.86,355,3.2,10238,145.58,5974.55,108.5
2025-01-12,Curitiba,Operação B,11261,78.8,456702.64,498,4.43,10569,142.91,5795.72,106.55
2025-01-12,Curitiba,Operação C,8297,57.4,368157.84,269,3.25,7697,144.55,6413.9,107.8
2025-01-12,Belo Horizonte,Operação A,10428,82.4,476519.02,349,3.35,11060,126.55,5783.0,94.29
2025-01-12,Belo Horizonte,Operação B,9828,66.0,385086.84,233,2.37,8860,148.91,5834.65,110.93
2025-01-12,Belo Horizonte,Operação C,7289,50.4,268805.8,357,4.9,6767,144.62,5333.45,107.71
2025-01-12,Campinas,Operação A,8709,56.2,373129.0,298,3.42,7533,154.96,6639.31,115.61
2025-01-12,Campinas,Operação B,8220,57.7,344002.57,360,4.38,7739,142.46,5961.92,106.22
2025-01-12,Campinas,Operação C,7694,54.9,311957.47,265,3.45,7368,140.15,5682.29,104.42
2025-01-13,São Paulo,Operação A,16668,120.0,610169.78,682,4.09,18324,138.9,5084.75,90.96
2025-01-13,São Paulo,Operação B,16147,103.7,679364.61,610,3.78,15830,155.71,6551.25,102.0
2025-01-13,São Paulo,Operação C,12890,86.4,551477.78,350,2.72,13193,149.19,6382.84,97.7
2025-01-13,Rio de Janeiro,Operação A,14810,106.6,682987.18,574,3.88,16272,138.93,6407.01,91.02
2025-01-13,Rio de Janeiro,Operação B,15510,92.0,754746.03,668,4.31,14043,168.59,8203.76,110.45
2025-01-13,Rio de Janeiro,Operação C,9549,66.5,377192.43,336,3.52,10150,143.59,5672.07,94.08
2025-01-13,Curitiba,Operação A,13250,88.5,566398.64,383,2.9,13509,149.72,6399.98,98.08
2025-01-13,Curitiba,Operação B,9886,69.5,378703.66,239,2.42,10613,142.24,5448.97,93.15
2025-01-13,Curitiba,Operação C,9843,58.1,376026.27,551,5.61,8871,169.41,6472.05,110.96
2025-01-13,Belo Horizonte,Operação A,13360,83.6,515249.36,542,4.06,12763,159.81,6163.27,104.68
2025-01-13,Belo Horizonte,Operação B,10448,65.7,545807.05,357,3.42,10025,159.03,8307.57,104.22
2025-01-13,Belo Horizonte,Operação C,10406,69.4,435595.64,511,4.92,10591,149.94,6276.59,98.25
2025-01-13,Campinas,Operação A,11792,66.3,528647.24,359,3.05,10127,177.86,7973.56,116.44
2025-01-13,Campinas,Operação B,11108,65.9,494164.26,249,2.24,10064,168.56,7498.7,110.37
2025-01-13,Campinas,Operação C,7600,49.0,316937.22,303,4.0,7485,155.1,6468.11,101.54
2025-01-14,São Paulo,Operação A,17057,119.1,742334.14,680,3.99,18209,143.22,6232.86,93.67
2025-01-14,São Paulo,Operação B,18081,106.4,819714.59,699,3.87,16267,169.93,7704.08,111.15
2025-01-14,São Paulo,Operação C,12522,89.7,547442.72,459,3.67,13713,139.6,6103.04,91.31
2025-01-14,Rio de Janeiro,Operação A,15194,105.6,572445.71,659,4.34,16147,143.88,5420.89,94.1
2025-01-14,Rio de Janeiro,Operação B,14881,89.9,626687.62,524,3.52,13746,165.53,6970.94,108.26
2025-01-14,Rio de Janeiro,Operação C,13085,85.9,554600.96,409,3.13,13137,152.33,6456.36,99.6
2025-01-14,Curitiba,Operação A,12645,81.8,542325.53,394,3.12,12508,154.58,6629.9,101.1
2025-01-14,Curitiba,Operação B,12228,82.6,504435.73,384,3.15,12625,148.04,6106.97,96.86
2025-01-14,Curitiba,Operação C,12021,75.1,554497.21,277,2.31,11475,160.07,7383.45,104.76
2025-01-14,Belo Horizonte,Operação A,13763,82.0,582575.9,599,4.35,12538,167.84,7104.58,109.77
2025-01-14,Belo Horizonte,Operação B,11467,66.1,587059.86,368,3.21,10101,173.48,8881.39,113.52
2025-01-14,Belo Horizonte,Operação C,10131,58.2,489512.58,312,3.08,8899,174.07,8410.87,113.84
2025-01-14,Campinas,Operação A,10495,67.8,384349.97,290,2.77,10361,154.79,5668.88,101.29
2025-01-14,Campinas,Operação B,8141,54.5,340792.52,300,3.69,8326,149.38,6253.07,97.78
2025-01-14,Campinas,Operação C,9545,65.0,438471.43,317,3.33,9932,146.85,6745.71,96.1
2025-01-15,São Paulo,Operação A,19467,117.5,730189.88,740,3.81,17989,165.68,6214.38,108.22
2025-01-15,São Paulo,Operação B,16961,103.7,731980.36,926,5.46,15867,163.56,7058.63,106.89
2025-01-15,São Paulo,Operação C,13056,85.7,515809.11,398,3.06,13123,152.35,6018.78,99.49
2025-01-15,Rio de Janeiro,Operação A,17007,99.3,810928.06,517,3.04,15194,171.27,8166.45,111.93
2025-01-15,Rio de Janeiro,Operação B,13785,84.4,548520.42,552,4.01,12914,163.33,6499.06,106.74
2025-01-15,Rio de Janeiro,Operação C,11423,80.8,550474.61,563,4.94,12367,141.37,6812.8,92.37
2025-01-15,Curitiba,Operação A,12399,80.6,534935.78,467,3.77,12333,153.83,6636.92,100.54
2025-01-15,Curitiba,Operação B,14146,78.4,584119.62,404,2.86,12001,180.43,7450.51,117.87
2025-01-15,Curitiba,Operação C,8297,55.3,347374.58,409,4.94,8462,150.04,6281.64,98.05
2025-01-15,Belo Horizonte,Operação A,12294,76.5,515540.39,547,4.45,11714,160.71,6739.09,104.95
2025-01-15,Belo Horizonte,Operação B,13308,87.4,532882.16,576,4.34,13376,152.27,6097.05,99.49
2025-01-15,Belo Horizonte,Operação C,11807,66.1,523471.76,379,3.21,10118,178.62,7919.39,116.69
2025-01-15,Campinas,Operação A,12759,74.9,577752.13,498,3.91,11458,170.35,7713.65,111.35
2025-01-15,Campinas,Operação B,11801,69.0,560885.43,474,4.02,10556,171.03,8128.77,111.79
2025-01-15,Campinas,Operação C,8460,53.0,396148.26,240,2.85,8104,159.62,7474.5,104.39
2025-01-16,São Paulo,Operação A,18551,120.5,781274.98,839,4.52,18461,153.95,6483.61,100.49
2025-01-16,São Paulo,Operação B,16498,103.8,603176.37,675,4.1,15914,158.94,5810.95,103.67
2025-01-16,São Paulo,Operação C,17272,94.7,704160.22,634,3.68,14516,182.39,7435.69,118.99
2025-01-16,Rio de Janeiro,Operação A,18548,105.5,771945.83,690,3.72,16165,175.81,7317.02,114.74
2025-01-16,Rio de Janeiro,Operação B,15154,94.5,609406.98,553,3.66,14476,160.36,6448.75,104.68
2025-01-16,Rio de Janeiro,Operação C,12772,86.9,543217.15,375,2.94,13317,146.97,6251.06,95.91
2025-01-16,Curitiba,Operação A,13191,93.2,524531.05,501,3.8,14289,141.53,5628.02,92.32
2025-01-16,Curitiba,Operação B,13361,84.8,531489.92,668,5.0,12990,157.56,6267.57,102.86
2025-01-16,Curitiba,Operação C,7344,54.8,321373.86,227,3.1,8400,134.01,5864.49,87.43
2025-01-16,Belo Horizonte,Operação A,12135,73.0,521504.09,369,3.05,11189,166.23,7143.89,108.45
2025-01-16,Belo Horizonte,Operação B,10206,60.7,455195.81,349,3.42,9308,168.14,7499.11,109.65
2025-01-16,Belo Horizonte,Operação C,10880,74.3,390569.14,320,2.95,11381,146.43,5256.65,95.6
2025-01-16,Campinas,Operação A,11340,70.4,465337.53,428,3.78,10790,161.08,6609.91,105.1
2025-01-16,Campinas,Operação B,9196,52.7,383210.15,404,4.39,8082,174.5,7271.54,113.78
2025-01-16,Campinas,Operação C,9237,56.5,409005.76,356,3.86,8662,163.49,7239.04,106.64
2025-01-17,São Paulo,Operação A,21211,122.4,907535.64,862,4.07,18779,173.29,7414.51,112.95
2025-01-17,São Paulo,Operação B,17783,101.9,698772.86,878,4.94,15633,174.51,6857.44,113.75
2025-01-17,São Paulo,Operação C,12830,89.9,545434.32,379,2.96,13799,142.71,6067.12,92.98
2025-01-17,Rio de Janeiro,Operação A,16588,109.6,667090.84,329,1.99,16821,151.35,6086.6,98.61
2025-01-17,Rio de Janeiro,Operação B,11459,87.0,408678.23,470,4.11,13356,131.71,4697.45,85.8
2025-01-17,Rio de Janeiro,Operação C,13860,84.9,528510.84,479,3.46,13025,163.25,6225.1,106.41
2025-01-17,Curitiba,Operação A,12363,84.8,593592.05,519,4.2,13020,145.79,6999.91,94.95
2025-01-17,Curitiba,Operação B,11479,72.3,491686.11,214,1.87,11088,158.77,6800.64,103.53
2025-01-17,Curitiba,Operação C,9545,63.2,362648.15,312,3.28,9700,151.03,5738.1,98.4
2025-01-17,Belo Horizonte,Operação A,15365,92.7,610225.34,608,3.96,14231,165.75,6582.8,107.97
2025-01-17,Belo Horizonte,Operação B,13422,79.5,566925.44,400,2.98,12199,168.83,7131.14,110.03
2025-01-17,Belo Horizonte,Operação C,10790,66.2,491816.54,432,4.01,10162,162.99,7429.25,106.18
2025-01-17,Campinas,Operação A,11916,78.1,563264.27,435,3.66,11981,152.57,7212.09,99.46
2025-01-17,Campinas,Operação B,11474,76.0,561581.79,419,3.66,11667,150.97,7389.23,98.35
2025-01-17,Campinas,Operação C,7592,49.6,309135.69,291,3.84,7605,153.06,6232.57,99.83
2025-01-18,São Paulo,Operação A,16299,121.5,682970.18,849,5.21,16433,134.15,5621.15,99.18
2025-01-18,São Paulo,Operação B,16500,114.6,695508.23,593,3.6,15495,143.98,6069.01,106.49
2025-01-18,São Paulo,Operação C,12258,94.5,502216.31,265,2.17,12777,129.71,5314.46,95.94
2025-01-18,Rio de Janeiro,Operação A,15558,106.5,623366.34,740,4.76,14404,146.08,5853.21,108.01
