data,ultimo,aberturaa,maxima,minima,Vol.,Var%
"03.09.2019","4,1678","4,1858","4,1864","4,1505","63,97K","-0,43%"
"02.09.2019","4,1857","4,1440","4,1894","4,1410","27,28K","0,99%"
"30.08.2019","4,1445","4,1693","4,1713","4,1202","69,27K","-0,58%"
"29.08.2019","4,1685","4,1691","4,1779","4,1423","75,68K","0,02%"
"28.08.2019","4,1677","4,1264","4,1690","4,1263","74,17K","0,91%"
"27.08.2019","4,1300","4,1573","4,1949","4,1206","90,45K","-0,65%"
"26.08.2019","4,1569","4,1200","4,1693","4,1030","70,70K","0,91%"
"23.08.2019","4,1196","4,0703","4,1324","4,0500","116,83K","1,21%"
"22.08.2019","4,0704","4,0263","4,0818","4,0169","74,36K","1,10%"
"21.08.2019","4,0260","4,0540","4,0549","4,0134","69,70K","-0,66%"
"20.08.2019","4,0529","4,0744","4,0749","4,0261","73,23K","-0,52%"
"19.08.2019","4,0740","4,0030","4,0760","3,9904","70,32K","1,71%"
"16.08.2019","4,0054","3,9917","4,0083","3,9754","57,97K","0,37%"
"15.08.2019","3,9908","4,0516","4,0522","3,9791","87,28K","-1,52%"
"14.08.2019","4,0522","3,9638","4,0541","3,9630","79,78K","2,21%"
"13.08.2019","3,9646","3,9849","4,0128","3,9448","83,06K","-0,52%"
"12.08.2019","3,9853","3,9402","4,0132","3,9390","62,76K","1,13%"
"09.08.2019","3,9406","3,9196","3,9502","3,9191","64,83K","0,56%"
"08.08.2019","3,9188","3,9691","3,9697","3,9179","68,63K","-1,24%"
"07.08.2019","3,9682","3,9615","3,9929","3,9450","75,52K","0,20%"
"06.08.2019","3,9603","3,9760","3,9864","3,9358","71,00K","-0,44%"
"05.08.2019","3,9778","3,8864","3,9789","3,8864","75,39K","2,30%"
"02.08.2019","3,8883","3,8403","3,8935","3,8388","68,81K","1,29%"
"01.08.2019","3,8388","3,8154","3,8612","3,8107","77,21K","0,69%"
"31.07.2019","3,8125","3,7896","3,8238","3,7479","72,76K","0,60%"
"30.07.2019","3,7896","3,7818","3,7998","3,7752","36,17K","0,22%"
"29.07.2019","3,7813","3,7748","3,8012","3,7748","33,87K","0,16%"
"26.07.2019","3,7753","3,7791","3,7945","3,7591","42,49K","-0,08%"
"25.07.2019","3,7783","3,7740","3,8069","3,7550","48,58K","0,15%"
"24.07.2019","3,7726","3,7742","3,7791","3,7519","30,65K","-0,02%"
"23.07.2019","3,7735","3,7407","3,7801","3,7405","37,22K","0,89%"
"22.07.2019","3,7403","3,7463","3,7483","3,7292","28,36K","-0,21%"
"19.07.2019","3,7481","3,7189","3,7544","3,7188","40,36K","0,79%"
"18.07.2019","3,7187","3,7642","3,7642","3,7178","35,30K","-1,18%"
"17.07.2019","3,7632","3,7685","3,7687","3,7540","29,73K","-0,13%"
"16.07.2019","3,7680","3,7552","3,7717","3,7518","37,83K","0,33%"
"15.07.2019","3,7555","3,7365","3,7583","3,7278","32,87K","0,53%"
"12.07.2019","3,7358","3,7563","3,7636","3,7296","40,56K","-0,48%"
"11.07.2019","3,7540","3,7539","3,7672","3,7345","48,46K","-0,01%"
"10.07.2019","3,7543","3,7888","3,7943","3,7504","52,11K","-1,20%"
"09.07.2019","3,8000","3,8074","3,8074","3,8005","0,07K","-0,17%"
"08.07.2019","3,8063","3,8160","3,8176","3,7988","34,33K","-0,40%"
"05.07.2019","3,8215","3,8022","3,8387","3,7978","48,09K","0,54%"
"04.07.2019","3,8008","3,8266","3,8301","3,7834","41,81K","-0,65%"
"03.07.2019","3,8258","3,8457","3,8752","3,8150","70,45K","-0,49%"
"02.07.2019","3,8447","3,8408","3,8812","3,8180","74,79K","0,12%"
"01.07.2019","3,8401","3,8374","3,8492","3,8089","44,43K","-0,30%"
"28.06.2019","3,8518","3,8193","3,8520","3,8136","43,82K","0,85%"
"27.06.2019","3,8194","3,8462","3,8733","3,8172","52,24K","-0,62%"
"26.06.2019","3,8433","3,8469","3,8586","3,8305","48,08K","-0,12%"
"25.06.2019","3,8478","3,8272","3,8597","3,8182","51,71K","0,60%"
"24.06.2019","3,8248","3,8220","3,8381","3,8067","38,98K","0,15%"
"21.06.2019","3,8190","3,8318","3,8463","3,8127","50,41K","-0,51%"
"20.06.2019","3,8386","3,8386","3,8395","3,8386","","-0,01%"
"19.06.2019","3,8388","3,8606","3,8844","3,8383","60,72K","-0,54%"
"18.06.2019","3,8595","3,8894","3,8894","3,8487","54,00K","-0,74%"
"17.06.2019","3,8881","3,8976","3,9249","3,8797","58,87K","-0,19%"
"14.06.2019","3,8956","3,8491","3,9139","3,8480","71,56K","1,22%"
"13.06.2019","3,8485","3,8672","3,8675","3,8345","53,70K","-0,48%"
"12.06.2019","3,8669","3,8574","3,8723","3,8296","54,99K","0,26%"
"11.06.2019","3,8569","3,8870","3,8870","3,8423","50,35K","-0,78%"
"10.06.2019","3,8874","3,8760","3,8996","3,8668","48,90K","0,26%"
"07.06.2019","3,8774","3,8794","3,8858","3,8496","58,91K","-0,05%"
"06.06.2019","3,8795","3,8812","3,8882","3,8567","72,08K","-0,03%"
"05.06.2019","3,8808","3,8576","3,9039","3,8365","76,72K","0,69%"
"04.06.2019","3,8542","3,8864","3,8899","3,8482","69,58K","-0,80%"
"03.06.2019","3,8851","3,9233","3,9345","3,8822","78,04K","-0,94%"
"31.05.2019","3,9218","3,9800","3,9986","3,9086","82,06K","-1,50%"
"30.05.2019","3,9816","3,9744","3,9937","3,9544","62,35K","0,19%"
"29.05.2019","3,9742","4,0248","4,0409","3,9679","60,92K","-1,24%"
"28.05.2019","4,0243","4,0430","4,0541","4,0101","67,45K","-0,41%"
"27.05.2019","4,0410","4,0131","4,0432","4,0040","28,46K","0,49%"
"24.05.2019","4,0213","4,0416","4,0480","4,0086","61,17K","-0,45%"
"23.05.2019","4,0394","4,0402","4,0716","4,0253","70,94K","-0,01%"
"22.05.2019","4,0400","4,0394","4,0531","4,0068","73,69K","0,03%"
"21.05.2019","4,0387","4,0968","4,1138","4,0331","74,18K","-1,41%"
"20.05.2019","4,0963","4,1014","4,1221","4,0777","82,87K","-0,08%"
"17.05.2019","4,0997","4,0480","4,1134","4,0474","82,02K","1,31%"
"16.05.2019","4,0467","4,0014","4,0547","3,9938","61,23K","1,14%"
"15.05.2019","4,0012","3,9764","4,0219","3,9736","63,15K","0,67%"
"14.05.2019","3,9745","3,9935","3,9953","3,9661","56,77K","-0,45%"
"13.05.2019","3,9925","3,9771","4,0050","3,9727","71,44K","0,91%"
"10.05.2019","3,9566","3,9467","3,9738","3,9363","60,19K","0,28%"
"09.05.2019","3,9456","3,9276","3,9815","3,9276","55,69K","0,45%"
"08.05.2019","3,9279","3,9705","3,9783","3,9252","54,72K","-1,06%"
"07.05.2019","3,9700","3,9705","4,0003","3,9640","54,28K","0,04%"
"06.05.2019","3,9683","3,9384","3,9747","3,9378","43,09K","0,77%"
"03.05.2019","3,9378","3,9668","3,9683","3,9307","57,52K","-0,70%"
"02.05.2019","3,9654","3,9200","3,9721","3,9175","57,39K","1,17%"
"01.05.2019","3,9195","3,9196","3,9220","3,9176","0,09K","-0,03%"
"30.04.2019","3,9207","3,9456","3,9573","3,9129","60,21K","-0,60%"
"29.04.2019","3,9442","3,9300","3,9461","3,9207","46,15K","0,39%"
"26.04.2019","3,9288","3,9502","3,9759","3,9197","57,68K","-0,61%"
"25.04.2019","3,9530","3,9910","4,0065","3,9462","63,80K","-0,98%"
"24.04.2019","3,9922","3,9214","3,9944","3,9187","69,94K","1,85%"
"23.04.2019","3,9197","3,9360","3,9642","3,9121","53,30K","-0,41%"
"22.04.2019","3,9358","3,9270","3,9394","3,9130","41,11K","0,25%"
"19.04.2019","3,9260","3,9273","3,9275","3,9273","","0,00%"
"18.04.2019","3,9261","3,9400","3,9518","3,9039","55,11K","-0,28%"
"17.04.2019","3,9373","3,9051","3,9476","3,8856","58,95K","0,88%"
"16.04.2019","3,9031","3,8724","3,9083","3,8681","51,12K","0,80%"
"15.04.2019","3,8720","3,8819","3,8910","3,8591","56,26K","-0,24%"
"12.04.2019","3,8812","3,8585","3,9081","3,8570","67,19K","0,63%"
"11.04.2019","3,8570","3,8253","3,8633","3,8253","52,65K","0,84%"
"10.04.2019","3,8247","3,8510","3,8549","3,8147","49,45K","-0,66%"
"09.04.2019","3,8502","3,8495","3,8646","3,8459","52,52K","0,03%"
"08.04.2019","3,8490","3,8728","3,8772","3,8417","47,02K","-0,62%"
"05.04.2019","3,8730","3,8589","3,8768","3,8420","60,14K","0,37%"
"04.04.2019","3,8587","3,8710","3,8882","3,8475","61,69K","-0,28%"
"03.04.2019","3,8694","3,8537","3,8824","3,8329","58,16K","0,44%"
"02.04.2019","3,8525","3,8514","3,8793","3,8479","63,25K","0,04%"
"01.04.2019","3,8508","3,8897","3,8930","3,8488","54,77K","-1,86%"
"29.03.2019","3,9238","3,9010","3,9342","3,8678","82,29K","0,60%"
"28.03.2019","3,9005","3,9924","4,0160","3,8982","96,08K","-2,32%"
"27.03.2019","3,9933","3,8747","4,0021","3,8725","98,70K","3,00%"
"26.03.2019","3,8769","3,8528","3,8797","3,8336","72,25K","0,61%"
"25.03.2019","3,8535","3,9041","3,9369","3,8435","80,01K","-1,36%"
"22.03.2019","3,9066","3,7926","3,9168","3,7926","94,82K","3,02%"
"21.03.2019","3,7921","3,7755","3,8382","3,7635","77,33K","0,44%"
"20.03.2019","3,7756","3,7917","3,7993","3,7381","72,90K","-0,34%"
"19.03.2019","3,7885","3,7917","3,8003","3,7647","48,73K","-0,07%"
"18.03.2019","3,7913","3,8173","3,8280","3,7836","52,61K","-0,57%"
"15.03.2019","3,8131","3,8444","3,8719","3,8075","60,80K","-0,78%"
"14.03.2019","3,8430","3,8147","3,8550","3,8133","60,26K","0,76%"
"13.03.2019","3,8142","3,8112","3,8355","3,7996","62,85K","0,08%"
"12.03.2019","3,8111","3,8406","3,8450","3,8017","74,15K","-0,73%"
"11.03.2019","3,8392","3,8667","3,8675","3,8338","70,38K","-0,71%"
"08.03.2019","3,8666","3,8707","3,9037","3,8497","80,65K","-0,09%"
"07.03.2019","3,8701","3,8403","3,9033","3,8163","91,17K","0,79%"
"06.03.2019","3,8397","3,7770","3,8454","3,7748","42,59K","1,71%"
"05.03.2019","3,7750","3,7755","3,7755","3,7755","","0,00%"
"04.03.2019","3,7750","3,7748","3,7755","3,7748","0,05K","0,00%"
"01.03.2019","3,7749","3,7510","3,7965","3,7460","70,19K","0,63%"
"28.02.2019","3,7511","3,7265","3,7597","3,7173","77,19K","0,61%"
"27.02.2019","3,7285","3,7446","3,7484","3,7221","66,12K","-0,54%"
"26.02.2019","3,7487","3,7517","3,7669","3,7383","70,24K","-0,09%"
"25.02.2019","3,7519","3,7477","3,7523","3,7194","61,75K","0,10%"
"22.02.2019","3,7482","3,7682","3,7682","3,7264","64,59K","-0,56%"
"21.02.2019","3,7693","3,7254","3,7724","3,7155","70,21K","1,13%"
"20.02.2019","3,7273","3,7240","3,7374","3,6905","73,72K","0,12%"
"19.02.2019","3,7227","3,7332","3,7452","3,7034","61,67K","-0,33%"
"18.02.2019","3,7351","3,7020","3,7429","3,7020","44,11K","0,93%"
"15.02.2019","3,7007","3,7205","3,7268","3,6991","73,21K","-0,60%"
"14.02.2019","3,7232","3,7524","3,7956","3,7144","81,43K","-0,83%"
"13.02.2019","3,7543","3,7106","3,7627","3,7106","72,41K","1,20%"
"12.02.2019","3,7097","3,7442","3,7476","3,7026","73,26K","-1,27%"
"11.02.2019","3,7576","3,7322","3,7751","3,7279","65,13K","0,77%"
"08.02.2019","3,7290","3,7196","3,7483","3,7028","81,98K","0,33%"
"07.02.2019","3,7166","3,6999","3,7379","3,6994","88,29K","0,50%"
"06.02.2019","3,6982","3,6699","3,7166","3,6673","75,25K","0,78%"
"05.02.2019","3,6695","3,6643","3,6851","3,6612","70,48K","0,02%"
"04.02.2019","3,6686","3,6597","3,6884","3,6595","68,75K","0,25%"
"01.02.2019","3,6596","3,6455","3,6828","3,6385","72,65K","0,43%"
"31.01.2019","3,6439","3,6865","3,6865","3,6364","83,29K","-1,11%"
"30.01.2019","3,6849","3,7205","3,7327","3,6744","76,38K","-0,95%"
"29.01.2019","3,7201","3,7617","3,7655","3,7155","65,15K","-1,10%"
"28.01.2019","3,7614","3,7785","3,7879","3,7505","64,27K","-0,21%"
"25.01.2019","3,7695","3,7705","3,7710","3,7703","0,00K","-0,06%"
"24.01.2019","3,7718","3,7746","3,7946","3,7375","59,57K","0,19%"
"23.01.2019","3,7648","3,7938","3,8124","3,7554","54,05K","-1,30%"
"22.01.2019","3,8142","3,7550","3,8171","3,7454","56,60K","1,62%"
"21.01.2019","3,7535","3,7604","3,7804","3,7534","34,70K","0,09%"
"18.01.2019","3,7502","3,7475","3,7738","3,7278","58,60K","0,00%"
"17.01.2019","3,7502","3,7339","3,7746","3,7267","58,18K","0,38%"
"16.01.2019","3,7361","3,7156","3,7384","3,7087","15,40K","0,52%"
"15.01.2019","3,7167","3,7032","3,7328","3,6944","21,18K","0,51%"
"14.01.2019","3,6978","3,7113","3,7352","3,6840","0,34K","-0,35%"
"11.01.2019","3,7108","3,6948","3,7303","3,6912","12,53K","0,01%"
"10.01.2019","3,7104","3,6807","3,7254","3,6751","0,00K","0,81%"
"09.01.2019","3,6806","3,7138","3,7159","3,6750","48,59K","-0,88%"
"08.01.2019","3,7132","3,7373","3,7423","3,7039","49,06K","-0,59%"
"07.01.2019","3,7351","3,7144","3,7387","3,6900","44,59K","0,53%"
"04.01.2019","3,7154","3,7593","3,7857","3,7093","56,28K","-1,09%"
"03.01.2019","3,7564","3,7965","3,8081","3,7380","55,71K","-0,88%"
"02.01.2019","3,7897","3,8793","3,8976","3,7833","44,05K","-2,34%"
"01.01.2019","3,8804","3,8804","3,8804","3,8804","","0,00%"
"31.12.2018","3,8804","3,8804","3,8804","3,8804","","0,00%"
"28.12.2018","3,8804","3,8775","3,8956","3,8298","","0,19%"
"27.12.2018","3,8732","3,9200","3,9461","3,8688","","-1,24%"
"26.12.2018","3,9219","3,9040","3,9416","3,8923","","0,47%"
"25.12.2018","3,9035","3,9035","3,9035","3,9035","","0,00%"
"24.12.2018","3,9035","3,9040","3,9040","3,9040","","-0,01%"
"21.12.2018","3,9039","3,8408","3,9078","3,8395","","1,61%"
"20.12.2018","3,8419","3,8970","3,8970","3,8331","","-1,43%"
"19.12.2018","3,8976","3,9020","3,9140","3,8639","","-0,38%"
"18.12.2018","3,9123","3,8979","3,9179","3,8841","","0,33%"
"17.12.2018","3,8994","3,9175","3,9294","3,8774","","-0,45%"
"14.12.2018","3,9170","3,9122","3,9219","3,8879","","0,67%"
"13.12.2018","3,8910","3,8551","3,8977","3,8512","","0,92%"
"12.12.2018","3,8554","3,8948","3,9004","3,8364","","-1,24%"
"11.12.2018","3,9039","3,9202","3,9232","3,8884","","-0,35%"
"10.12.2018","3,9178","3,9075","3,9460","3,8914","","0,27%"
"07.12.2018","3,9074","3,8817","3,9246","3,8576","","0,76%"
"06.12.2018","3,8779","3,8897","3,9436","3,8727","","0,25%"
"05.12.2018","3,8682","3,8527","3,8838","3,8346","","0,41%"
"04.12.2018","3,8524","3,8293","3,8680","3,8179","","0,30%"
"03.12.2018","3,8408","3,8669","3,8669","3,8149","","-0,66%"
"30.11.2018","3,8662","3,8490","3,8888","3,8379","","0,38%"
"29.11.2018","3,8515","3,8506","3,8742","3,8325","","0,02%"
"28.11.2018","3,8508","3,8801","3,8883","3,8317","","-0,62%"
"27.11.2018","3,8750","3,9232","3,9249","3,8623","","-1,64%"
"26.11.2018","3,9398","3,8187","3,9448","3,8171","","2,92%"
"23.11.2018","3,8280","3,8045","3,8309","3,7952","","0,65%"
"22.11.2018","3,8033","3,7897","3,8264","3,7896","","0,15%"
"21.11.2018","3,7975","3,7560","3,8040","3,7560","","1,09%"
"20.11.2018","3,7567","3,7559","3,7579","3,7559","","0,02%"
"19.11.2018","3,7560","3,7473","3,7734","3,7420","","0,34%"
"16.11.2018","3,7434","3,7732","3,7832","3,7301","","-1,07%"
"15.11.2018","3,7840","3,7843","3,7843","3,7843","","0,00%"
"14.11.2018","3,7840","3,8032","3,8198","3,7666","","-0,50%"
"13.11.2018","3,8031","3,7573","3,8318","3,7535","","0,95%"
"12.11.2018","3,7674","3,7498","3,7701","3,7364","","0,91%"
"09.11.2018","3,7334","3,7610","3,7755","3,7257","","-0,72%"
"08.11.2018","3,7604","3,7297","3,7647","3,7162","","0,77%"
"07.11.2018","3,7317","3,7618","3,7880","3,7223","","-0,79%"
"06.11.2018","3,7614","3,7270","3,7707","3,7237","","0,95%"
"05.11.2018","3,7260","3,6967","3,7331","3,6913","","0,80%"
"02.11.2018","3,6965","3,7044","3,7044","3,6965","","-0,09%"
"01.11.2018","3,7000","3,7222","3,7230","3,6792","","-0,59%"
"31.10.2018","3,7218","3,6976","3,7451","3,6860","","0,67%"
"30.10.2018","3,6972","3,7175","3,7362","3,6774","","-0,56%"
"29.10.2018","3,7179","3,6430","3,7224","3,5817","","2,07%"
"26.10.2018","3,6426","3,7062","3,7305","3,6397","","-1,67%"
"25.10.2018","3,7046","3,7351","3,7351","3,6812","","-0,77%"
"24.10.2018","3,7335","3,6948","3,7469","3,6820","","1,09%"
"23.10.2018","3,6932","3,6875","3,7233","3,6854","","0,23%"
"22.10.2018","3,6846","3,6946","3,7209","3,6693","","-0,79%"
"19.10.2018","3,7140","3,7220","3,7268","3,6872","","-0,20%"
"18.10.2018","3,7214","3,6875","3,7318","3,6729","","0,92%"
"17.10.2018","3,6873","3,7252","3,7462","3,6644","","-1,00%"
"16.10.2018","3,7244","3,7350","3,7360","3,6913","","-0,30%"
"15.10.2018","3,7355","3,7569","3,7649","3,7128","","-1,24%"
"12.10.2018","3,7825","3,7835","3,7835","3,7826","","0,04%"
"11.10.2018","3,7810","3,7570","3,7863","3,7166","","0,71%"
"10.10.2018","3,7545","3,7156","3,7684","3,7110","","1,06%"
"09.10.2018","3,7153","3,7826","3,7915","3,7010","","-1,68%"
"08.10.2018","3,7786","3,7284","3,7831","3,7096","","-1,61%"
"05.10.2018","3,8406","3,8743","3,8953","3,8375","","-0,87%"
"04.10.2018","3,8743","3,9018","3,9360","3,8734","","-0,68%"
"03.10.2018","3,9008","3,9411","3,9414","3,8221","","-1,00%"
"02.10.2018","3,9404","4,0180","4,0183","3,9053","","-1,92%"
"01.10.2018","4,0176","4,0496","4,0637","4,0038","","-0,74%"
"28.09.2018","4,0477","4,0136","4,0573","3,9890","","0,89%"
"27.09.2018","4,0120","4,0345","4,0556","3,9669","","-0,47%"
"26.09.2018","4,0310","4,0781","4,0941","4,0090","","-1,08%"
"25.09.2018","4,0751","4,0899","4,1421","4,0680","","-0,40%"
"24.09.2018","4,0914","4,0652","4,0968","4,0355","","0,99%"
"21.09.2018","4,0511","4,0772","4,0955","4,0276","","-0,63%"
"20.09.2018","4,0766","4,1272","4,1316","4,0669","","-1,30%"
"19.09.2018","4,1305","4,1626","4,1763","4,0971","","-0,70%"
"18.09.2018","4,1596","4,1343","4,1648","4,1172","","0,68%"
"17.09.2018","4,1316","4,1737","4,2041","4,1154","","-1,01%"
"14.09.2018","4,1739","4,2069","4,2110","4,1582","","-0,78%"
"13.09.2018","4,2067","4,1617","4,2096","4,1237","","1,20%"
"12.09.2018","4,1569","4,1526","4,1675","4,1102","","0,10%"
"11.09.2018","4,1527","4,0863","4,1798","4,0862","","1,64%"
"10.09.2018","4,0855","4,0679","4,1276","4,0516","","0,64%"
"07.09.2018","4,0594","4,0594","4,0594","4,0594","","0,02%"
"06.09.2018","4,0587","4,1448","4,1665","4,0362","","-2,10%"
"05.09.2018","4,1457","4,1572","4,1862","4,1115","","-0,34%"
"04.09.2018","4,1600","4,1575","4,1916","4,1378","","0,05%"
"03.09.2018","4,1579","4,0921","4,1602","4,0911","","2,55%"
"31.08.2018","4,0545","4,1490","4,1773","4,0527","","-2,28%"
"30.08.2018","4,1493","4,1065","4,2151","4,1035","","1,04%"
"29.08.2018","4,1065","4,1391","4,1645","4,1010","","-0,66%"
"28.08.2018","4,1337","4,0800","4,1475","4,0618","","1,39%"
"27.08.2018","4,0772","4,1066","4,1149","4,0473","","-0,59%"
"24.08.2018","4,1012","4,1140","4,1326","4,0718","","-0,32%"
"23.08.2018","4,1145","4,0413","4,1281","4,0400","","1,81%"
"22.08.2018","4,0415","4,0503","4,0912","4,0307","","-0,13%"
"21.08.2018","4,0467","3,9697","4,0526","3,9553","","1,95%"
"20.08.2018","3,9692","3,9132","3,9716","3,9132","","1,49%"
"17.08.2018","3,9108","3,9072","3,9532","3,9041","","0,13%"
"16.08.2018","3,9059","3,9048","3,9296","3,8667","","0,02%"
"15.08.2018","3,9053","3,8672","3,9280","3,8661","","1,01%"
"14.08.2018","3,8663","3,8842","3,9036","3,8586","","-0,45%"
"13.08.2018","3,8836","3,8582","3,9294","3,8582","","0,65%"
"10.08.2018","3,8584","3,8016","3,8744","3,8005","","1,52%"
"09.08.2018","3,8007","3,7720","3,8217","3,7714","","0,78%"
